,momentum_12_1,momentum_6m,ann_vol,max_drawdown,ROE,margins,debt_to_equity,beta,market_cap,sector,mom_z,quality_z,score
MU,5.3184,1.1233,0.8154,-0.391,0.6664,0.5591,6.33,2.222,1101452017664,Technology,5.3973,1.1123,3.5137
INTC,3.2487,1.2502,0.795,-0.419,-0.1072,-0.1979,48.997,2.231,544151666688,Technology,3.1102,-0.9734,1.8102
AMD,2.1028,1.7361,0.7174,-0.2776,0.102,0.1558,6.361,2.476,842569351168,Technology,1.844,-0.0524,1.7049
AMAT,2.1556,0.6987,0.5951,-0.3964,0.4107,0.3005,28.666,1.597,362269278208,Technology,1.9023,0.3867,1.3287
KLAC,1.1919,0.5845,0.6022,-0.4359,0.875,0.3557,96.88,1.444,236014616576,Technology,0.8374,0.6558,0.8179
ASML,1.3131,0.3519,0.4647,-0.2195,0.5394,0.3011,9.092,1.363,652317032448,Technology,0.9713,0.5301,0.7267
PANW,0.9967,1.1196,0.4526,-0.3601,0.0174,0.0267,9.337,0.908,270471692288,Technology,0.6217,-0.3629,0.6815
CRWD,1.0816,0.8722,0.5403,-0.3718,0.0146,0.0083,15.958,1.255,211688292352,Technology,0.7155,-0.416,0.5844
TSM,0.6811,0.2463,0.4017,-0.2155,0.3997,0.4992,16.504,1.247,2246988005376,Technology,0.273,0.7816,0.3983
NVDA,0.2733,0.1803,0.3795,-0.2021,1.1721,0.6366,16.971,2.217,5271048421376,Technology,-0.1777,1.5974,0.3836
TXN,0.5216,0.5868,0.4238,-0.2337,0.3518,0.3111,78.036,1.314,245389656064,Technology,0.0967,0.2403,0.3241
AAPL,0.3319,0.3106,0.2506,-0.138,1.4875,0.2762,78.445,1.085,4849207869440,Technology,-0.1129,0.9966,0.3032
GOOGL,0.4438,0.2278,0.3152,-0.2105,0.4868,0.5477,18.859,1.225,4139833098240,Communication Services,0.0107,0.9296,0.3
