rank,ticker,close,ret_1m,ret_3m,ret_6m,mom_12_1,vol_6m,beta,score
1,MU,975.26,0.0702,-0.0063,1.29,4.8052,0.9422,3.332,2.301
2,VLO,390.42,0.1823,0.5152,0.7078,1.1517,0.3715,-0.266,1.474
3,MPC,395.93,0.14,0.5062,0.762,0.9586,0.3558,-0.123,1.328
4,PSX,259.47,0.1563,0.4536,0.521,0.7666,0.3222,-0.269,1.165
5,INTC,102.94,0.0197,-0.1736,1.2491,3.1923,0.864,2.855,1.05
6,MRK,143.93,0.0828,0.2177,0.2632,0.6588,0.3237,0.183,0.687
7,TGT,155.83,0.0119,0.1612,0.3509,0.7812,0.313,0.422,0.667
8,AMD,516.13,0.0687,0.0089,1.6689,2.0455,0.7481,3.131,0.634
9,REGN,781.49,-0.0195,0.2781,0.0507,0.4306,0.3194,0.485,0.594
10,AMAT,456.49,-0.1663,-0.1944,0.3397,2.2812,0.6917,2.724,0.566
11,COP,137.35,0.0861,0.182,0.1428,0.4113,0.3077,-0.534,0.562
12,XOM,165.99,0.0458,0.1364,0.0774,0.4562,0.2828,-0.56,0.547
13,JNJ,265.58,0.0231,0.108,0.1114,0.4907,0.2201,-0.186,0.538
14,ABNB,170.19,-0.055,0.2866,0.3475,0.4696,0.3993,1.089,0.498
15,TMO,609.82,0.0113,0.3006,0.3145,0.2623,0.3298,0.603,0.493
16,CVX,214.06,0.0983,0.1533,0.1071,0.2894,0.2553,-0.495,0.476
17,BMY,63.64,-0.0009,0.1265,0.1006,0.445,0.2768,0.266,0.437
18,WBD,28.04,0.0141,0.0393,0.0332,0.4653,0.1609,0.445,0.397
19,VRTX,515.44,-0.0196,0.1585,0.0982,0.3325,0.2744,0.516,0.383
20,AMGN,377.35,-0.088,0.0686,0.0443,0.5385,0.2889,0.528,0.373
21,RTX,197.68,-0.1096,0.0807,-0.0262,0.4457,0.269,0.37,0.364
22,SNOW,328.99,-0.0098,0.4133,0.8414,0.5024,0.7828,1.349,0.361
23,BAC,62.69,-0.0278,0.1248,0.3557,0.302,0.1926,0.696,0.36
24,DE,675.74,0.0903,0.1732,0.1766,0.3337,0.3376,0.466,0.359
25,SCHW,107.25,-0.0163,0.1807,0.16,0.1804,0.26,0.451,0.334
26,OXY,61.46,0.0545,0.092,0.0717,0.3016,0.3559,-0.639,0.325
27,EOG,147.36,0.0295,0.0864,0.1198,0.2535,0.3093,-0.606,0.319
28,ABBV,257.12,0.0336,0.1371,0.1885,0.1747,0.2747,-0.093,0.314
29,AAPL,332.27,0.0993,0.1423,0.3308,0.2961,0.278,0.686,0.312
30,CRM,247.72,0.2814,0.4933,0.2912,-0.1969,0.56,0.523,0.29
31,LLY,1115.7,-0.0844,-0.0139,0.1362,0.6233,0.3544,0.31,0.277
32,JPM,356.23,-0.0245,0.1157,0.2689,0.2126,0.2078,0.779,0.265
33,FDX,311.99,-0.0452,-0.0743,0.1051,0.7895,0.3156,0.905,0.263
