rank,ticker,price,ret_1m,ret_3m,ret_6m,ret_12m,mom_12_1,vol_12m,sharpe,maxdd_12m,momentum_z,sharpe_z,lowvol_z,lowdd_z,composite
1,MU,975.26,0.0702,-0.0205,1.4074,5.4875,5.062,0.8143,2.7136,-0.391,4.1215,1.9883,-1.3469,-0.1087,2.5117
2,LITE,927.03,-0.0058,0.0421,0.5047,4.6225,4.6554,0.9719,2.2678,-0.428,3.7579,1.6046,-2.1121,0.1085,2.16
3,WDC,447.18,-0.0149,-0.1549,0.7131,3.6595,3.7301,0.8038,2.3255,-0.418,2.9304,1.6542,-1.296,0.0499,1.8369
4,STX,830.17,-0.0547,-0.043,1.2253,3.253,3.4991,0.7497,2.3124,-0.3181,2.7238,1.643,-1.0337,-0.5358,1.6979
5,INTC,102.94,0.0197,-0.1199,1.2749,3.1829,3.102,0.7965,2.1946,-0.419,2.3687,1.5416,-1.2605,0.0559,1.5264
6,AMAT,456.49,-0.1663,-0.1731,0.3566,1.6977,2.2359,0.5952,1.9716,-0.3964,1.5941,1.3497,-0.2834,-0.0766,1.166
7,TER,379.72,-0.0568,-0.004,0.3259,2.2923,2.4905,0.7631,1.9509,-0.3398,1.8218,1.3318,-1.0986,-0.4083,1.1598
8,MRVL,236.1,0.0876,-0.1587,1.6951,2.5531,2.2669,0.7904,1.9957,-0.4835,1.6218,1.3705,-1.2311,0.4337,1.1423
9,COHR,305.37,-0.1414,-0.1601,0.2657,1.9501,2.4358,0.8458,1.7064,-0.4798,1.7729,1.1215,-1.5001,0.4123,1.1141
10,AMD,516.13,0.0687,0.0567,1.6101,2.3155,2.1023,0.7182,2.0292,-0.2776,1.4746,1.3992,-0.8806,-0.7731,0.9917
11,LRCX,298.22,-0.0855,-0.1768,0.4246,1.5945,1.8371,0.6403,1.8147,-0.4176,1.2375,1.2147,-0.5022,0.0478,0.9377
12,MPC,395.93,0.14,0.5222,0.7322,1.208,0.9368,0.3427,2.4946,-0.1833,0.4323,1.7998,0.9422,-1.326,0.7177
13,ASML,1698.3,-0.0617,-0.1048,0.2609,1.1258,1.2657,0.4655,1.8596,-0.2195,0.7265,1.2533,0.3462,-1.1136,0.6625
14,CAT,818.57,-0.0433,-0.0864,0.1726,0.9146,1.0013,0.3972,1.8402,-0.267,0.49,1.2366,0.6778,-0.8355,0.6002
15,KLAC,180.64,-0.1316,-0.2501,0.2846,0.8932,1.1801,0.6029,1.3667,-0.4359,0.6499,0.8291,-0.3207,0.1548,0.5571
16,FDX,311.99,-0.0452,-0.0735,0.1005,0.7141,0.7953,0.2836,2.0514,-0.1167,0.3058,1.4184,1.2291,-1.7164,0.5297
17,CRWD,206.74,-0.0678,0.1958,0.8729,0.9082,1.047,0.5411,1.4643,-0.3718,0.5309,0.9132,-0.0208,-0.2211,0.5152
18,FTNT,156.07,-0.0297,0.0759,0.8492,0.9294,0.9884,0.4148,1.7935,-0.1434,0.4784,1.1965,0.5924,-1.56,0.5014
19,PANW,330.65,-0.1456,0.1829,0.9667,0.6672,0.9513,0.4535,1.3571,-0.3601,0.4453,0.8209,0.4042,-0.2898,0.4804
20,VRT,257.06,-0.1085,-0.1369,-0.0309,0.8963,1.1272,0.6612,1.2997,-0.407,0.6026,0.7715,-0.6039,-0.0144,0.4709
21,NVT,162.38,-0.0513,-0.0117,0.5095,0.7079,0.8003,0.4549,1.4095,-0.2742,0.3102,0.866,0.3977,-0.7929,0.3754
22,WATT,11.33,-0.3327,-0.5312,-0.1271,0.4791,1.2167,1.1275,0.8882,-0.7062,0.6826,0.4174,-2.8673,1.7392,0.3537
23,PWR,650.58,-0.0405,-0.0477,0.148,0.6711,0.7416,0.4434,1.3794,-0.2853,0.2577,0.8401,0.4532,-0.7282,0.3534
24,TSM,433.24,0.0095,0.0289,0.2933,0.6918,0.6759,0.4024,1.5131,-0.2155,0.199,0.9551,0.6523,-1.1374,0.3375
25,ENTG,140.37,-0.1286,-0.0306,0.2783,0.6863,0.9351,0.681,1.109,-0.4179,0.4308,0.6073,-0.7001,0.0494,0.3325
26,ON,76.14,-0.0862,-0.3434,0.3198,0.5532,0.6997,0.6222,1.0272,-0.4761,0.2203,0.537,-0.4144,0.3902,0.2688
27,ARM,264.79,-0.026,-0.2263,1.3001,0.7116,0.7574,0.7609,1.0793,-0.4883,0.2719,0.5818,-1.0878,0.4617,0.2479
28,DDOG,221.21,-0.0818,-0.0556,0.7396,0.5897,0.7313,0.6967,1.0013,-0.4862,0.2485,0.5147,-0.776,0.4496,0.246
29,AAPL,332.27,0.0993,0.1249,0.3015,0.4498,0.3188,0.2508,1.6133,-0.138,-0.1204,1.0413,1.3882,-1.5916,0.2319
30,MPWR,1234.46,-0.1337,-0.2222,0.1982,0.4792,0.7075,0.5356,1.0013,-0.2971,0.2273,0.5147,0.0058,-0.6591,0.2027
31,GOOGL,338.5,-0.014,-0.0533,0.1165,0.4119,0.432,0.3158,1.2532,-0.2105,-0.0191,0.7315,1.0726,-1.1667,0.2005
32,TXN,268.7,-0.0285,-0.091,0.4283,0.4953,0.5392,0.4247,1.158,-0.2337,0.0767,0.6495,0.5442,-1.0307,0.1846
33,SNOW,328.99,-0.0098,0.3686,0.8561,0.4652,0.4798,0.6534,0.8929,-0.563,0.0236,0.4214,-0.5662,0.8998,0.1716
34,GEV,957.27,-0.0795,0.0562,0.1517,0.513,0.6436,0.5191,1.0575,-0.2457,0.1701,0.5631,0.0861,-0.9602,0.1666
35,ABNB,170.19,-0.055,0.3005,0.3327,0.3831,0.4636,0.3483,1.1049,-0.1721,0.0091,0.6038,0.9152,-1.3914,0.1381
36,SPY,764.29,-0.0106,0.0386,0.1536,0.1751,0.1877,0.1285,1.3249,-0.0888,-0.2376,0.7932,1.9819,-1.8796,0.1294
37,QQQ,714.88,-0.0122,-0.002,0.1998,0.2298,0.245,0.1966,1.155,-0.1196,-0.1864,0.6469,1.6514,-1.6991,0.0961
38,ANET,199.59,-0.0518,0.2762,0.4891,0.3042,0.3755,0.5479,0.761,-0.2833,-0.0697,0.3079,-0.0538,-0.7399,-0.0219
39,MOD,189.3,-0.0513,-0.3028,-0.0137,0.2891,0.3587,0.6937,0.7146,-0.4212,-0.0847,0.268,-0.7614,0.0685,-0.0312
40,GE,323.66,-0.1141,-0.0261,0.0566,0.1554,0.3041,0.33,0.6042,-0.2085,-0.1335,0.173,1.0036,-1.1781,-0.0323
41,NVDA,218.29,-0.0248,0.0667,0.1947,0.235,0.2664,0.3803,0.7463,-0.2021,-0.1672,0.2952,0.7598,-1.2155,-0.0406
42,EMR,152.19,-0.0677,0.0747,0.16,0.1245,0.2062,0.3219,0.5264,-0.2345,-0.2211,0.106,1.0432,-1.0258,-0.077
43,MCHP,74.2,-0.0603,-0.1968,0.1959,0.1711,0.2463,0.4994,0.5627,-0.3051,-0.1852,0.1372,0.1814,-0.6118,-0.0945
44,AMZN,256.78,-0.0393,0.0632,0.2255,0.1167,0.1623,0.3434,0.4901,-0.2174,-0.2603,0.0748,0.9388,-1.1263,-0.1265
45,QCOM,181.97,0.122,-0.0985,0.4002,0.1501,0.0251,0.5259,0.5269,-0.4098,-0.383,0.1064,0.0529,0.0017,-0.1541
46,FSLR,209.03,-0.0782,-0.2292,0.0581,0.0281,0.1154,0.5329,0.3177,-0.374,-0.3023,-0.0736,0.0188,-0.2084,-0.1922
47,PLTR,167.23,-0.0223,0.2758,0.0894,0.0175,0.0406,0.6088,0.3211,-0.4822,-0.3691,-0.0706,-0.3496,0.4264,-0.1981
48,SEDG,34.68,0.0831,-0.4066,-0.0145,0.176,0.0858,0.9978,0.6604,-0.6202,-0.3287,0.2213,-2.238,1.2349,-0.1983
49,AVGO,361.99,-0.1299,-0.0597,0.0814,0.0139,0.1654,0.4621,0.2613,-0.2867,-0.2576,-0.1221,0.3624,-0.7201,-0.2012
50,NXPI,236.62,0.0138,-0.2153,0.2481,0.0789,0.0643,0.4908,0.3903,-0.3292,-0.348,-0.0111,0.2232,-0.4707,-0.2021
51,MSFT,495.63,0.0084,0.2721,0.2383,-0.0026,-0.0109,0.3248,0.1512,-0.345,-0.4152,-0.2168,1.0289,-0.3782,-0.2076
52,AAON,79.8,-0.0625,-0.3789,-0.0804,-0.0282,0.0366,0.6104,0.2447,-0.4963,-0.3728,-0.1365,-0.3571,0.5088,-0.2121
53,HON,202.36,-0.1376,-0.1168,-0.1663,-0.0306,0.1241,0.2708,0.0195,-0.2162,-0.2945,-0.3302,1.2912,-1.1332,-0.2305
54,ENPH,36.35,-0.1084,-0.3382,-0.1467,-0.026,0.0924,0.827,0.361,-0.5151,-0.3228,-0.0363,-1.4085,0.6192,-0.2512
55,SHOP,128.79,-0.1437,0.1658,0.0208,-0.112,0.0371,0.585,0.0881,-0.4671,-0.3723,-0.2711,-0.2338,0.3374,-0.2571
56,BA,210.45,-0.0897,-0.0504,0.0278,-0.0434,0.051,0.3353,0.0327,-0.2496,-0.3599,-0.3189,0.9782,-0.9372,-0.2715
57,IBM,243.29,0.031,-0.1085,-0.0034,-0.0288,-0.058,0.4877,0.1959,-0.375,-0.4573,-0.1784,0.2381,-0.2023,-0.2786
58,TSLA,365.44,0.1158,-0.0845,-0.0749,-0.0091,-0.112,0.4717,0.2173,-0.391,-0.5056,-0.16,0.3158,-0.1083,-0.28
59,CRM,247.72,0.2814,0.4883,0.2494,0.0144,-0.2084,0.4724,0.2587,-0.4333,-0.5918,-0.1244,0.3125,0.1392,-0.2881
60,SMCI,40.1,0.0662,0.2543,0.2977,-0.0876,-0.1443,0.9157,0.3712,-0.6501,-0.5345,-0.0275,-1.8391,1.4105,-0.3184
61,CEG,284.75,0.0234,0.156,-0.0528,-0.0996,-0.1201,0.4706,0.0121,-0.4122,-0.5129,-0.3366,0.3211,0.0156,-0.3237
62,BIDU,91.4,-0.1282,-0.2128,-0.2579,-0.1826,-0.0624,0.5185,-0.1339,-0.4426,-0.4613,-0.4622,0.0887,0.194,-0.341
63,JD,27.06,-0.1439,-0.0356,0.003,-0.1853,-0.0483,0.3219,-0.48,-0.2978,-0.4487,-0.7601,1.0433,-0.655,-0.4135
64,META,648.03,0.1195,0.1411,0.0172,-0.1342,-0.2266,0.3947,-0.1692,-0.3246,-0.6081,-0.4926,0.6899,-0.4975,-0.4326
65,TLN,312.74,-0.1433,-0.093,0.0041,-0.2199,-0.0894,0.5449,-0.1841,-0.3412,-0.4854,-0.5054,-0.0393,-0.4005,-0.4383
66,BABA,109.3,-0.1271,-0.0301,-0.1781,-0.2904,-0.187,0.4265,-0.5966,-0.4947,-0.5727,-0.8604,0.5356,0.4992,-0.441
67,AXON,479.34,-0.2008,0.0743,-0.0402,-0.3618,-0.2015,0.6192,-0.4195,-0.5551,-0.5857,-0.708,-0.3999,0.8535,-0.4599
68,ADBE,252.23,-0.0252,0.1528,-0.0651,-0.2805,-0.2619,0.4021,-0.6204,-0.4737,-0.6397,-0.8809,0.6539,0.3761,-0.4811
69,NTES,115.61,-0.0647,-0.0759,0.0142,-0.2111,-0.1565,0.333,-0.5493,-0.3046,-0.5455,-0.8197,0.9892,-0.6148,-0.4812
70,NRG,113.46,-0.0597,-0.0795,-0.2491,-0.2727,-0.2265,0.485,-0.4136,-0.401,-0.608,-0.7029,0.2516,-0.0499,-0.4947
71,UBER,71.67,-0.049,0.0305,-0.0178,-0.243,-0.2041,0.3601,-0.5972,-0.3413,-0.588,-0.8609,0.8579,-0.4,-0.5065
72,ZS,164.54,-0.0721,0.3047,0.0853,-0.426,-0.3814,0.632,-0.5428,-0.6489,-0.7466,-0.8141,-0.4622,1.4035,-0.5234
73,VST,148.38,0.0116,0.0151,-0.0676,-0.269,-0.2774,0.4896,-0.3962,-0.3801,-0.6535,-0.6879,0.2291,-0.1722,-0.5275
74,ORLY,85.82,-0.0677,-0.0475,-0.077,-0.204,-0.1463,0.2555,-0.7695,-0.2327,-0.5363,-1.0092,1.3656,-1.0364,-0.538
75,TMUS,182.33,0.0353,-0.0131,-0.1399,-0.2287,-0.255,0.2955,-0.7337,-0.2955,-0.6335,-0.9784,1.1714,-0.6682,-0.56
76,LOW,196.82,-0.0887,-0.1041,-0.169,-0.2626,-0.1909,0.2701,-0.9977,-0.3084,-0.5762,-1.2055,1.2947,-0.5925,-0.5795
77,HD,308.74,-0.0944,-0.046,-0.0755,-0.2502,-0.172,0.2524,-1.0193,-0.2881,-0.5593,-1.2242,1.3805,-0.7117,-0.58
78,RUN,8.56,-0.1301,-0.3179,-0.2849,-0.4653,-0.3854,0.7887,-0.3791,-0.6091,-0.7501,-0.6733,-1.2227,1.1698,-0.5823
79,SE,106.24,-0.1707,0.2398,0.2475,-0.4593,-0.348,0.5083,-0.9595,-0.6022,-0.7167,-1.1727,0.1384,1.1298,-0.5834
80,OKLO,36.22,-0.1974,-0.374,-0.3922,-0.5471,-0.4357,1.023,-0.2759,-0.792,-0.7951,-0.5845,-2.3603,2.2421,-0.5847
81,PDD,77.81,-0.1261,-0.0429,-0.2343,-0.3811,-0.2918,0.3366,-1.2606,-0.4693,-0.6664,-1.4319,0.9716,0.3508,-0.6305
82,COIN,175.26,0.1759,0.0924,-0.093,-0.459,-0.5399,0.7078,-0.5219,-0.6357,-0.8883,-0.7961,-0.8301,1.3258,-0.6334
83,NFLX,77.4,0.043,-0.0476,-0.1793,-0.3569,-0.3834,0.3579,-1.0586,-0.4554,-0.7483,-1.258,0.8682,0.2692,-0.6378
84,DKNG,24.74,-0.0302,-0.1759,-0.0321,-0.4606,-0.4439,0.5275,-0.9086,-0.5483,-0.8024,-1.1289,0.0451,0.8135,-0.654
85,ORCL,150.28,-0.0196,-0.1809,-0.0492,-0.5063,-0.4964,0.5704,-0.9581,-0.6456,-0.8494,-1.1715,-0.1629,1.3839,-0.6541
86,GRAB,3.05,-0.1551,-0.0896,-0.1867,-0.4485,-0.3472,0.3838,-1.3638,-0.5333,-0.716,-1.5207,0.7426,0.7259,-0.6673
87,INTU,321.57,-0.0393,0.1664,-0.2554,-0.5077,-0.4876,0.4871,-1.2084,-0.6342,-0.8415,-1.3869,0.241,1.3173,-0.681
88,HUBS,225.33,0.0724,0.2087,-0.1254,-0.5464,-0.577,0.7264,-0.7231,-0.6744,-0.9215,-0.9693,-0.9201,1.5528,-0.6883
89,MSTR,130.97,0.3811,0.0901,-0.0464,-0.5983,-0.7091,0.7983,-0.7544,-0.7712,-1.0397,-0.9962,-1.2694,2.12,-0.7336
90,NKE,36.8,-0.0819,-0.1908,-0.3068,-0.4886,-0.4429,0.3617,-1.6743,-0.4927,-0.8016,-1.7879,0.8499,0.4878,-0.8034
91,RBLX,45.5,0.2802,0.0462,-0.1918,-0.6578,-0.7327,0.6721,-1.2477,-0.7489,-1.0607,-1.4207,-0.657,1.9897,-0.8233
92,SMR,8.61,-0.1022,-0.1003,-0.2679,-0.7553,-0.7274,1.0311,-0.86,-0.8579,-1.056,-1.0871,-2.3993,2.6287,-0.8312
93,TTD,14.34,0.063,-0.2413,-0.4594,-0.683,-0.7018,0.5621,-1.763,-0.7593,-1.0331,-1.8642,-0.1227,2.0503,-0.8831
94,TME,7.98,-0.0567,-0.1382,-0.401,-0.6802,-0.6609,0.4689,-2.1863,-0.6927,-0.9966,-2.2284,0.3295,1.6598,-0.9679
95,MNSO,9.07,-0.2378,-0.3134,-0.4458,-0.6329,-0.5183,0.3634,-2.5811,-0.6333,-0.869,-2.5682,0.8416,1.3118,-0.9896
