ticker,side,score,close,ret_6m,vol60_ann
MU,LONG,2.519463,975.26,1.713027,0.928070
AMAT,LONG,1.533008,456.49,1.041873,0.793854
INTC,LONG,1.490680,102.94,0.900748,0.756042
LRCX,LONG,1.140804,298.22,0.823053,0.802609
ASML,LONG,1.014042,1698.30,0.658564,0.488950
VLO,LONG,0.978547,390.42,0.533368,0.338448
CAT,LONG,0.923395,818.57,-0.086385,0.427720
FDX,LONG,0.885457,311.99,-0.073488,0.267175
MPC,LONG,0.760188,395.93,0.522235,0.331434
PSX,LONG,0.723913,259.47,0.464611,0.301161
RBLX,SHORT,-1.543553,45.50,-0.576776,0.807732
COIN,SHORT,-1.091253,175.26,-0.394719,0.716218
Z,SHORT,-1.046555,32.50,-0.511278,0.531014
MRNA,SHORT,-1.019926,143.97,1.235644,3.749573
TEAM,SHORT,-1.009412,179.70,-0.569909,0.990909
